"Date","Year","Month","Fraction","Depth","Monitoring.Location.ID","Result.Unit","Nitrogen","Phosphate-phosphorus","NP_mass","NP_mol"
1990-11-16,1990,11,"Total","Surface",4917370,"mg/l",NA,0.09,NA,NA
1990-11-16,1990,11,"Total","Surface",4917380,"mg/l",NA,0.13,NA,NA
1990-11-16,1990,11,"Total","Surface",4917390,"mg/l",NA,0.07,NA,NA
1990-11-16,1990,11,"Total","Surface",4917400,"mg/l",NA,0.09,NA,NA
1990-11-16,1990,11,"Total","Surface",4917410,"mg/l",NA,0.06,NA,NA
1990-11-16,1990,11,"Total","Surface",4917420,"mg/l",NA,0.08,NA,NA
1990-11-16,1990,11,"Total","Surface",4917500,"mg/l",NA,0.04,NA,NA
1990-11-16,1990,11,"Total","Surface",4917510,"mg/l",NA,0.07,NA,NA
1990-11-16,1990,11,"Total","Surface",4917520,"mg/l",NA,0.07,NA,NA
1990-11-16,1990,11,"Total","Surface",4917620,"mg/l",NA,0.06,NA,NA
1990-11-16,1990,11,"Total","Surface",4917700,"mg/l",NA,0.06,NA,NA
1990-11-16,1990,11,"Total","Surface",4917710,"mg/l",NA,0.06,NA,NA
1990-11-16,1990,11,"Total","Surface",4917770,"mg/l",NA,0.11,NA,NA
1991-01-22,1991,1,"Dissolved","Bottom",4917770,"mg/l",NA,0.59,NA,NA
1991-01-22,1991,1,"Dissolved","Surface",4917310,"mg/l",NA,0.16,NA,NA
1991-01-22,1991,1,"Dissolved","Surface",4917320,"mg/l",NA,0.16,NA,NA
1991-01-22,1991,1,"Dissolved","Surface",4917330,"mg/l",NA,0.03,NA,NA
1991-01-22,1991,1,"Dissolved","Surface",4917340,"mg/l",NA,0.04,NA,NA
1991-01-22,1991,1,"Dissolved","Surface",4917370,"mg/l",NA,0.08,NA,NA
1991-01-22,1991,1,"Dissolved","Surface",4917380,"mg/l",NA,0.85,NA,NA
1991-01-22,1991,1,"Dissolved","Surface",4917390,"mg/l",NA,0.04,NA,NA
1991-01-22,1991,1,"Dissolved","Surface",4917400,"mg/l",NA,0.09,NA,NA
1991-01-22,1991,1,"Dissolved","Surface",4917410,"mg/l",NA,0.03,NA,NA
1991-01-22,1991,1,"Dissolved","Surface",4917420,"mg/l",NA,0.03,NA,NA
1991-01-22,1991,1,"Dissolved","Surface",4917500,"mg/l",NA,0.03,NA,NA
1991-01-22,1991,1,"Dissolved","Surface",4917510,"mg/l",NA,0.05,NA,NA
1991-01-22,1991,1,"Dissolved","Surface",4917520,"mg/l",NA,0.03,NA,NA
1991-01-22,1991,1,"Dissolved","Surface",4917620,"mg/l",NA,0.03,NA,NA
1991-01-22,1991,1,"Dissolved","Surface",4917700,"mg/l",NA,0.02,NA,NA
1991-01-22,1991,1,"Dissolved","Surface",4917710,"mg/l",NA,0.07,NA,NA
1991-01-22,1991,1,"Dissolved","Surface",4917770,"mg/l",NA,0.6,NA,NA
1991-01-22,1991,1,"Total","Bottom",4917770,"mg/l",NA,0.7,NA,NA
1991-01-22,1991,1,"Total","Surface",4917310,"mg/l",NA,0.25,NA,NA
1991-01-22,1991,1,"Total","Surface",4917320,"mg/l",NA,0.25,NA,NA
1991-01-22,1991,1,"Total","Surface",4917330,"mg/l",NA,0.08,NA,NA
1991-01-22,1991,1,"Total","Surface",4917340,"mg/l",NA,0.08,NA,NA
1991-01-22,1991,1,"Total","Surface",4917370,"mg/l",NA,0.1,NA,NA
1991-01-22,1991,1,"Total","Surface",4917380,"mg/l",NA,1.88,NA,NA
1991-01-22,1991,1,"Total","Surface",4917390,"mg/l",NA,0.08,NA,NA
1991-01-22,1991,1,"Total","Surface",4917400,"mg/l",NA,0.12,NA,NA
1991-01-22,1991,1,"Total","Surface",4917410,"mg/l",NA,0.09,NA,NA
1991-01-22,1991,1,"Total","Surface",4917420,"mg/l",NA,0.09,NA,NA
1991-01-22,1991,1,"Total","Surface",4917500,"mg/l",NA,0.06,NA,NA
1991-01-22,1991,1,"Total","Surface",4917510,"mg/l",NA,0.1,NA,NA
1991-01-22,1991,1,"Total","Surface",4917520,"mg/l",NA,0.14,NA,NA
1991-01-22,1991,1,"Total","Surface",4917620,"mg/l",NA,0.08,NA,NA
